bga_id,bga_name,bgg_id,status,note
1141,Not Alone,194879,kept,
1791,Elawa,379625,kept,
2301,Mesos,414685,kept,
2578,Bordeaux,451034,kept,
23,Dragonheart,66171,kept,
1267,Welcome To New Las Vegas,281075,kept,
1289,Dinosaur Tea Party,247160,kept,
1359,Abalone,526,kept,
1725,Shogun,20551,kept,
1915,Bayonets & Tomahawks,206509,kept,
2634,Digging For Dinos,414633,kept,
1122,Krosmaster Arena,112138,kept,
1393,That's Life!,17240,kept,
1472,Japanese (Riichi) Mahjong,108018,kept,
1743,Stockpile,161614,kept,
1902,Romi Rami,383790,kept,
1921,Hens,348447,kept,
2003,The Fox in the Forest: Duet,288169,kept,
2117,Naishi,423648,remapped,
2129,Deliverance,273814,kept,
2138,Kamon,28738,kept,
2325,The Hanging Gardens,437334,kept,
2438,Azure,447254,kept,
1662,Blackjack,10816,kept,
1992,Go-Stop,17530,kept,
1313,Dragonwood,172933,kept,
1690,Cubosaurs,355881,kept,
1951,Nimalia,361850,kept,
2723,Waddle,435360,kept,
26,In The Year of the Dragon,214000,kept,
28,Gomoku,11929,kept,
1229,Kami,280107,kept,
1558,Trellis,202582,kept,
2106,Orchard,245487,kept,
2174,Knister,29355,kept,
2525,Movers & Shakers,452211,kept,
2622,Yokai Pagoda,394127,kept,
1121,Signorie,177678,kept,
1253,Dungeon Roll,138788,kept,
1440,Riftforce,291859,kept,
2168,Kado,428317,kept,
2350,Abra Chadabra,436400,kept,
43,Quoridor,624,kept,
1790,DIG UP Adventure,370139,kept,
2631,Pacts,439685,kept,
1221,Turn the tide,1403,kept,
1316,Jekyll vs. Hyde,297129,kept,
2499,Beasts,448416,kept,
1004,Time Masters,148759,kept,
1135,The Builders: Antiquity,161226,kept,
1716,Diceathlon,375553,kept,
2241,Queen of Scots,306500,kept,
2391,Junk Drawer,362366,kept,
2472,Ubongo,16986,kept,
2597,Dragon Overload,467495,kept,
1020,The Palaces of Carrara,129948,kept,
1158,Sapiens,169649,kept,
1513,Zooloretto,27588,kept,
2190,Resist!,352697,kept,
2529,Roll Through the Ages: The Bronze Age,37380,kept,
1102,Stir Fry Eighteen,193122,kept,
1981,Coal Baron,143515,kept,
2066,Ratjack,414107,kept,
2742,Texas Bingo,464695,kept,
1042,Madeira,95527,kept,
1456,Diced Tomatoes,259708,kept,
1705,Age of Civilization,264647,kept,
1776,Mind Up!,377515,kept,
1928,GrumbleStone,392197,kept,
